日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2019-06-03,36687092.0,8651389851.0,235.50,238.50,232.00,238.00,+2.50,8857.0
2019-06-04,24443428.0,5745045809.0,237.50,238.00,233.00,233.00,-5.00,11779.0
2019-06-05,35901584.0,8461930934.0,238.00,238.00,234.00,235.00,+2.00,12064.0
2019-06-06,34651731.0,8008768323.0,231.50,232.00,229.50,232.00,-3.00,14723.0
2019-06-10,35521888.0,8442986620.0,237.50,240.00,234.50,240.00,+8.00,15588.0
2019-06-11,34691670.0,8448805962.0,240.00,246.00,239.00,244.50,+4.50,13157.0
2019-06-12,30409556.0,7469805086.0,244.50,247.50,243.00,246.00,+1.50,11457.0
2019-06-13,33731724.0,8136137708.0,242.50,244.00,240.00,240.00,-6.00,13552.0
2019-06-14,35403556.0,8396819832.0,238.50,239.50,236.00,236.00,-4.00,14911.0
2019-06-17,51692012.0,12043369475.0,231.50,235.00,230.50,233.00,-3.00,20943.0
2019-06-18,28798087.0,6758454612.0,234.00,235.50,233.00,235.50,+2.50,9681.0
2019-06-19,50234372.0,12181979568.0,242.50,244.00,240.50,244.00,+8.50,20528.0
2019-06-20,39717291.0,9697726719.0,242.00,245.50,241.00,245.00,+1.00,13879.0
2019-06-21,62136304.0,15398139830.0,248.00,248.50,246.00,248.50,+3.50,19049.0
2019-06-24,43460507.0,10476936660.0,241.00,242.00,240.00,241.00,X0.00,17780.0
2019-06-25,29735283.0,7118002390.0,241.00,241.50,237.00,238.50,-2.50,11130.0
2019-06-26,28770041.0,6757991717.0,235.00,236.50,234.00,234.50,-4.00,13535.0
2019-06-27,42007834.0,10063332494.0,236.00,241.50,236.00,240.50,+6.00,14983.0
2019-06-28,28085212.0,6715488371.0,241.50,241.50,238.00,239.00,-1.50,8987.0
2019-07-01,66370875.0,16445222750.0,245.50,250.00,245.00,248.50,+9.50,29551.0
2019-07-02,26832202.0,6671951743.0,249.50,250.00,247.50,249.00,+0.50,12531.0
